index,original,translation,scores,mean,z_scores,z_mean,QE_score
0,"In the flood-prone districts of the Netherlands, particularly in the northern provinces of Friesland and Groningen, villages were traditionally built on low man-made hills called terpen before the introduction of regional dyke-systems.","???????? ?? ???? ??????? ????? ???, ????? ??? ?? ?????? ???????? ????????? ?? ?????????? ???, ?????? ?? ???????? ??? ?? ?? ???? ??????? ????????? ?? ????? ???? ?? ???? ????????? ????-?????? ?? ?????? ?? ???? ?????? ??? ???? ???","[90, 90, 79, 81]",85,"[0.10844457902530406, 0.17855383580414114, 0.6995198682189685, 0.6127709253415079]",0.399822302,0.68162328
1,Group A Group B The top five run scorers (total runs) are included in this table.,????? ? ????? ?? ????? ???? ?? ?????? (??? ??) ?? ?????? ??? ????? ????,"[95, 95, 87, 89]",91.5,"[0.5387802100780963, 0.6151157815355373, 1.5203117347123316, 1.3307216287293318]",1.001232339,0.68579644
2,"The final finished as a draw, with Essex winning the tournament, after securing a lead in the first innings of the match.","??? ?? ???? ???? ??? ???? ????? ???? ?? ???, ?????? ?? ??? ????? ???? ?? ??? ??? ?????? ????","[95, 95, 70, 60]",80,"[0.5387802100780963, 0.6151157815355373, -0.22387098158606503, -1.2718496710515297]",-0.085456165,0.683860242
3,"These traits—establishment of a working method integral to the art, establishment of a movement or visible active core of support, and international adoption—would be repeated by artistic movements in the Modern period in art.","?? ?????????-??? ?? ?????? ??? ????? ??????? ?? ???????, ?????? ?? ??????? ?? ?????? ?? ????? ?????? ??????, ?? ?????????????? ???????-??? ??? ?????? ??? ??? ??????? ???????? ?????? ??????? ??????","[90, 90, 78, 78]",84,"[0.10844457902530406, 0.17855383580414114, 0.5969208849072981, 0.3435394115710739]",0.306864678,0.698208332
4,"Its two most important members, Britain and France, were reluctant to use sanctions and even more reluctant to resort to military action on behalf of the League.","???? ?? ???? ?????????? ?????, ??????? ?? ?????? ?????????? ?? ????? ???? ?? ??? ???????? ?? ?? ??? ?? ?? ?? ????? ???????? ?? ????? ???? ?? ??? ?? ?? ???????? ???","[90, 90, 88, 86]",88.5,"[0.10844457902530406, 0.17855383580414114, 1.622910718024002, 1.0614901149588978]",0.742849812,0.748144567
5,"A map he made of North and South America is also included in the world's largest commercially available jigsaw puzzle, which is of four world maps.","???????? ????? ?? ?????? ??????? ?? ?? ????? ????? ??, ??? ?????? ?? ???? ???? ?????????? ??? ?? ?????? ????? ????? ??? ?? ????? ???? ??? ??, ?? ??? ????? ?????????? ?? ???","[90, 90, 76, 89]",86.25,"[0.10844457902530406, 0.17855383580414114, 0.39172291828395733, 1.3307216287293318]",0.50236074,0.723978281
6,"Websites that utilize PPC ads will display an advertisement when a keyword query matches an advertiser's keyword list that has been added in different ad groups, or when a content site displays relevant content.","?????? ?????????? ?? ????? ???? ???? ????????? ?? ???????? ????????? ?????? ?? ?? ?????? ?????? ???????????? ?? ?????? ???? ?? ??? ???? ?? ???? ??????? ???????? ?????? ??? ????? ??? ??, ?? ?? ??? ??????? ???? ????????? ??????? ????????? ???? ???","[95, 95, 66, 82]",84.5,"[0.5387802100780963, 0.6151157815355373, -0.6342669148327466, 0.7025147632649859]",0.30553596,0.719235837
7,It formed part of the ICC World Cricket League.,?? ?????? ????? ??????? ??? ?? ?????? ???,"[65, 80, 92, 92]",82.25,"[-2.0432335762386566, -0.694570055658651, 2.0333066512706837, 1.5999531424997655]",0.22386404,0.819206059
8,"Scheduled Castes numbered 4,641 and Scheduled Tribes numbered 1,535.","???????? ??????? ?? ?????? 4,641 ?? ???????? ????????? ?? ?????? 1,535 ???","[100, 95, 86, 72]",88.25,"[0.9691158411308884, 0.6151157815355373, 1.4177127514006613, -0.1949236159697939]",0.70175519,0.652262092
9,"A triangle ABC that has the sides a, b, c, semiperimeter s, area T, exradii ra, rb, rc (tangent to a, b, c respectively), and where R and r are the radii of the circumcircle and incircle respectively, is equilateral if and only if any one of the statements in the following nine categories is true.","?? ??????? ABC ????? ?????? a, b, c, semiperimeter s, area T, exradii ra, rb, rc (?????? a, b, c ?? ??????????) ??? ?? ???? R ?? r ?????? ???????? ?? ?????????? ?? ???????? ???, ?????? ?? ??? ?? ???? ??? ?????????? ?? ????????? ??? ?? ??? ?? ??? ???? ???","[55, 65, 56, 75]",62.75,"[-2.9039048383442414, -2.0042558928528393, -1.6602567479494506, 0.07430789780064002]",-1.623527395,0.48522836
10,"Timor-Leste does not yet have a policy to conserve its architecture and landscapes, but is still one of the few nations in Asia to possess well-preserved indigenous architecture and colonial architecture.","?????-?????? ?? ??? ??? ?? ???? ????????? ?? ???????? ?? ??????? ?? ??? ??? ???? ???? ??, ????? ?? ??? ?? ????? ?? ?? ??? ????? ??? ?? ?? ?? ????? ??? ????? ??? ?? ???????? ??????? ????????? ?? ????????? ????????? ???","[95, 95, 67, 79]",84,"[0.5387802100780963, 0.6151157815355373, -0.5316679315210762, 0.43328324949455194]",0.263877827,0.718384147
11,"If A is an n × n {\displaystyle n\times n} Toeplitz matrix, then the system has only 2n?1 degrees of freedom, rather than n2.","??? A ?? n Culture n {\displaystyle n\times n} Toeplitz ????????? ??, ?? ??????? ??? n2 ?? ???? ???? 2n Culture 1 ?????? ?? ?????????? ???","[40, 40, 70, 70]",55,"[-4.194911731502618, -4.18706562150982, -0.22387098158606503, -0.3744112918167498]",-2.245064907,0.586459517
12,These oracles were found in towers covered in white kapa cloth made from plant fibres.,?? ?????? ????? ?? ????? ?? ??? ???? ???? ????? ?? ??? ?????? ??? ??? ?? ???,"[65, 90, 60, 62]",69.25,"[-2.0432335762386566, 0.17855383580414114, -1.249860814702769, -1.0923619952045736]",-1.051725638,0.586940944
13,Her grandfather and Rahul helplessly watch her die.,???? ???? ?? ????? ????? ???? ???? ?????? ????? ????,"[90, 95, 70, 75]",82.5,"[0.10844457902530406, 0.6151157815355373, -0.22387098158606503, 0.07430789780064002]",0.143499319,0.665786445
14,A version using synonyms from Roget's Thesaurus exists.,????? ?? ?????? ?? ????????? ?????? ?? ????? ???? ???? ?? ??????? ????? ???,"[75, 70, 89, 72]",76.5,"[-1.1825623141330726, -1.5676939471214433, 1.7255097013356724, -0.1949236159697939]",-0.304917544,0.663960516
15,Sting later won by submission.,?????? ?? ??? ??? ?????? ?????? ??? ????? ???,"[50, 50, 56, 68]",56,"[-3.3342404693970336, -3.3139417300470275, -1.6602567479494506, -0.5538989676637058]",-2.215584479,0.727059066
16,"Most regimens have an initial high-intensity phase, followed by a continuation phase (also called a consolidation phase or eradication phase): the high-intensity phase is given first, then the continuation phase, the two phases divided by a slash.","??????? ??????? ??? ?? ????????? ???? ??????? ??? ???? ??, ????? ??? ?? ???????? ??? (???? ????? ??? ?? ??????? ??? ?? ??? ???? ??) ???? ??? ???? ??????? ??? ???? ???? ???? ??, ??? ???????? ???, ?? ????? ?? ?? ????? ?????? ??????? ???? ???? ???","[85, 85, 77, 77]",81,"[-0.32189105202748813, -0.2580081099272549, 0.4943219015956277, 0.253795573647596]",0.042054578,0.509595037
17,"During this period he was developing as a much more promising footballer at Rockmount, and his potential was highlighted when he was voted Player of the Year in his first season.",?? ???? ?? ????? ?? ???????? ??? ?? ???? ???? ?????? ?????? ??????? ?? ??? ??? ?????? ?? ??? ?? ?? ???? ?????? ?? ????? ???? ??? ?? ?? ?????? ???? ???? ???? ??? ?????? ?? ? ??? ???? ??? ???,"[95, 95, 69, 84]",85.75,"[0.5387802100780963, 0.6151157815355373, -0.32646996489773544, 0.8820024391119418]",0.427357116,0.770769894
18,"The Legislative Assembly would be expanded to fifty-one members, entirely chosen by popular election, and the Prime Minister and cabinet would control all aspects of government except defense and foreign affairs.","????? ??? ?? ??????? ??????? ?? ????????? ???? ?????, ?? ???? ??? ?? ???????? ????? ?????? ???? ??????, ?? ???????????? ?? ?????????? ????? ?? ?????? ?????? ?? ?????? ????? ?? ??? ?????? ?? ????????? ???????","[95, 95, 82, 79]",87.75,"[0.5387802100780963, 0.6151157815355373, 1.0073168181539798, 0.43328324949455194]",0.648624015,0.720097482
19,Air Deccan became a wholly owned subsidiary of Deccan Aviation.,??? ?????? ?????? ?????? ?? ????? ????????? ???? ????? ????? ?? ???,"[100, 95, 66, 71]",83,"[0.9691158411308884, 0.6151157815355373, -0.6342669148327466, -0.28466745389327186]",0.166324313,0.761594474
20,"Baranagar is also economically enriched for ""Baranagar Jute Mill"".",??????? ??? ??? ?? ??? ?? ?????? ??? ?? ?????? ???,"[85, 95, 80, 80]",85,"[-0.32189105202748813, 0.6151157815355373, 0.8021188515306389, 0.52302708741803]",0.404592667,0.629596412
21,James Anderson and Mark Wood withdrew from the England squads before the tour started due to injury.,????? ?????? ?? ????? ??? ?? ??? ?? ???? ???? ?? ???? ???????? ?? ????? ?? ???? ?? ?????,"[50, 50, 66, 64]",57.5,"[-3.3342404693970336, -3.3139417300470275, -0.6342669148327466, -0.9128743193576176]",-2.048830858,0.735258579
22,It is 385 km away from Mumbai.,?? ????? ?? 385 ???????? ??? ???,"[100, 90, 94, 85]",92.25,"[0.9691158411308884, 0.17855383580414114, 2.2385046178940247, 0.9717462770354197]",1.089480143,0.799209535
23,"Mohamed spent her childhood in a modest household in Amalemba, Kakamega, where she passed much of her time reading Sherlock Holmes stories and other detective fiction.","??????? ?? ???? ???? ???????? ?? ???????? ??? ?? ?????? ?????? ??? ??????, ???? ???????? ???? ??????? ??? ????? ????? ?? ???????? ?? ???? ?????? ????? ?? ????? ??? ???????","[95, 95, 70, 89]",87.25,"[0.5387802100780963, 0.6151157815355373, -0.22387098158606503, 1.3307216287293318]",0.56518666,0.748632729
24,The Poonia murders or Relu Ram Poonia murder case concerns the mass murder case of Indian politician Relu Ram Poonia and seven of his family members.,?????? ????? ?? ???? ??? ?????? ????? ????? ?????? ??????? ???? ??? ?????? ?? ???? ?????? ?? ??? ??????? ?? ??????? ????? ?? ??????? ???,"[95, 95, 68, 60]",79.5,"[0.5387802100780963, 0.6151157815355373, -0.42906894820940583, -1.2718496710515297]",-0.136755657,0.737723351
25,"In Beirut, where the competition was held, outdoor cafes put up big screens and the sound of Yousef’s voice drifted down streets.","????? ???, ???? ??????????? ?????? ?? ?? ??, ?????? ???? ?? ???? ??????? ???? ?? ????? ?? ???? ?????? ?? ?? ???","[90, 90, 76, 70]",81.5,"[0.10844457902530406, 0.17855383580414114, 0.39172291828395733, -0.3744112918167498]",0.07607751,0.721515656
26,It is the official language of Armenia.,?? ????????? ?? ???????? ???? ???,"[100, 90, 92, 93]",93.75,"[0.9691158411308884, 0.17855383580414114, 2.0333066512706837, 1.6896969804232436]",1.217668327,0.832614839
27,"The main advantage of a spinning net shot is that the opponent will be unwilling to address the shuttlecock until it has stopped tumbling, since hitting the feathers will result in an unpredictable stroke.","???????? ??? ??? ?? ????? ??? ?? ?? ?? ????????????? ?????? ?? ??????? ???? ?? ??? ????? ???? ???? ?? ?? ?? ?? ????????? ??? ???? ?? ???? ??, ??????? ????? ?? ????? ?? ?? ??????????? ??????? ?????","[95, 95, 78, 79]",86.75,"[0.5387802100780963, 0.6151157815355373, 0.5969208849072981, 0.43328324949455194]",0.546025032,0.575051963
28,"It is a member of the Caribbean Community (CARICOM), the Community of Latin American and Caribbean States (CELAC), and the Central American Integration System (SICA), the only country to hold full membership in all three regional organizations.","?? ???????? ?????? (???????), ????? ??????? ?? ???????? ??????? ?? ?????? (????????) ?? ???? ??????? ?????? ??????? (???????) ?? ????? ??, ?? ??? ??? ????????? ??????? ??? ????? ??????? ???? ???? ??????? ??? ???","[95, 95, 76, 85]",87.75,"[0.5387802100780963, 0.6151157815355373, 0.39172291828395733, 0.9717462770354197]",0.629341297,0.780831337
29,"However, later studies classified it as a natural hybrid of a variety of B. glabra and possibly B. peruviana - a ""local pink bougainvillea"" from Peru.","???????, ??? ?? ???????? ?? ??? ??. ???????? ?? ?????? ??. ?????????-???? ?? ?? ??????? ?????? ?????????? ?? ????? ?? ????????? ???? ?? ??? ??? ???????? ?????","[95, 95, 70, 86]",86.5,"[0.5387802100780963, 0.6151157815355373, -0.22387098158606503, 1.0614901149588978]",0.497878781,0.678580225
30,One is that he performed a bad act like the rest of the people and the other one is that he has negated the honor of Muhammad.,?? ?? ?? ???????? ???? ????? ?? ??? ?? ???? ????? ???? ?? ????? ?? ?? ???????? ??????? ?? ?????? ?? ???? ???? ???,"[80, 80, 68, 81]",77.25,"[-0.7522266830802803, -0.694570055658651, -0.42906894820940583, 0.6127709253415079]",-0.31577369,0.73214978
31,"Solar cars are electric vehicles powered completely or significantly by direct solar energy, usually through photovoltaic (PV) cells contained in solar panels that convert the sun's energy directly into electric energy, usually to charge a battery.","??? ????? (solar cars) ?? ?????????? ???? ??? ?? ???? ??? ?? ?? ????????? ??? ?? ???? ??? ????? ?????? ??????? ???? ???, ????? ?? ??? ?????? ??? ????? ??????????? (????) ????? ?? ?????? ?? ?? ????? ?? ????? ?? ???? ??????? ????? ??? ????????? ???? ???, ????? ?? ????? ?? ????? ???? ?? ????","[95, 95, 69, 81]",85,"[0.5387802100780963, 0.6151157815355373, -0.32646996489773544, 0.6127709253415079]",0.360049238,0.746486962
32,"Agra city is also known for its leather goods, the oldest and famous leather firm Taj Leather World is in Sadar bazar.","???? ??? ???? ????? ?? ????? ?? ??? ?? ???? ???? ??, ???? ?????? ?? ???????? ????? ???? ??? ???? ?????? ??? ????? ??? ???","[80, 70, 77, 85]",78,"[-0.7522266830802803, -1.5676939471214433, 0.4943219015956277, 0.9717462770354197]",-0.213463113,0.725569487
33,"His most important observations were that the energy of the rays was independent of the light intensity, but was greater for shorter wavelengths of light.","???? ???? ?????????? ?????? ?? ?? ?? ?????? ?? ????? ?????? ?? ??????? ?? ???????? ??, ????? ?????? ?? ???? ???? ??????? ?? ??? ???? ???","[95, 95, 89, 89]",92,"[0.5387802100780963, 0.6151157815355373, 1.7255097013356724, 1.3307216287293318]",1.05253183,0.598615766
34,It was built by the Portuguese in Portuguese occupied India.,???? ??????? ???????????? ?? ????? ???? ???? ??? ???????????? ?? ???? ???,"[95, 90, 78, 71]",83.5,"[0.5387802100780963, 0.17855383580414114, 0.5969208849072981, -0.28466745389327186]",0.257396869,0.738637209
35,"The adaptation of both of these traditions to local needs created a unique Australian tradition, which also was strongly influenced by Australian indigenous people, whose knowledge played a key role in the success of cattle ranching in Australia's climate.","??????? ??????? ?? ??? ?? ????? ???????? ?? ??????? ?? ?? ???????? ???????????? ?????? ?? ??????? ????, ?? ???????????? ??????? ????? ?? ?? ???? ???????? ??, ????? ????? ?? ??????????? ?? ?????? ??? ????? ???? ?? ????? ??? ?????????? ?????? ??????","[90, 95, 69, 90]",86,"[0.10844457902530406, 0.6151157815355373, -0.32646996489773544, 1.4204654666528096]",0.454388966,0.74911803
